"Part";"Value";"Device";"Package";"Description";"POPULARITY";"PROD_ID";"SF_SKU";"SPICEPREFIX";"VALUE";
"C1";"10 uF";"C-US025-025X050";"C025-025X050";"CAPACITOR, American symbol";"0";"";"";"C";"";
"C2";"22 pF";"C-US025-025X050";"C025-025X050";"CAPACITOR, American symbol";"0";"";"";"C";"";
"C3";"22";"C-US025-025X050";"C025-025X050";"CAPACITOR, American symbol";"0";"";"";"C";"";
"CAMARA";"";"JST-PH4";"JST-PH4";"";"";"";"";"";"";
"CUBESAT_BUS";"";"CONN_10"";"1X10";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"CONN-11563";"";"";"";
"D1";"";"BEAGLEBONE_BLUE_LED-3MM-NO_SILK";"BEAGLEBONE_BLUE_BEAGLEBONE_BLUE_LED3MM-NS";"LEDs";"";"";"";"";"";
"MEMORIASD";"";"CONN_08"";"1X08";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"CONN-08438";"";"";"";
"R1";"";"R-US_0204/7";"0204/7";"RESISTOR, American symbol";"48";"";"";"10k";"";
"R2";"10 k";"R-US_0204/7";"0204/7";"RESISTOR, American symbol";"48";"";"";"R";"";
"R3";"10 k";"R-US_0204/7";"0204/7";"RESISTOR, American symbol";"48";"";"";"R";"";
"R4";"330";"R-US_0204/7";"0204/7";"RESISTOR, American symbol";"48";"";"";"R";"";
"S1";"MOMENTARY-SWITCH-SPST-PTH-6.0MM";"MOMENTARY-SWITCH-SPST-PTH-6.0MM";"TACTILE_SWITCH_PTH_6.0MM";"Momentary Switch (Pushbutton) - SPST";"";" SWCH-08441";"COM-00097";"";"";
"U1";"328P";"ATMEGA328P_PDIP";"DIP28";"Atmel 328P";"";"IC-09136";"";"";"328P";
"X1";"CRYSTALS-NOGND-HC49";"CRYSTALS-NOGND-HC49";"HC49";"CRYSTALS CAN NOT GROUNDED";"16MHZ";"";"";"";"";
